Timestamp,Datetime,Channel,Min,Max,Amplitude
1965.84,2013-01-25 22:32:45.840000,bcg,3.9,3.6,2911.97851626
2052.59,2013-01-25 22:34:12.590000,bcg,3.9,3.95,8846.1658765
2056.49,2013-01-25 22:34:16.490000,bcg,3.9,3.8,8475.99989186
2129.99,2013-01-25 22:35:29.990000,bcg,3.8,3.85,4914.97843371
3025.14,2013-01-25 22:50:25.140000,bcg,3.75,3.65,12096.0289248
3028.74,2013-01-25 22:50:28.740000,bcg,3.6,3.55,10755.0241685
3032.29,2013-01-25 22:50:32.290000,bcg,3.55,3.55,10305.3978622
3035.84,2013-01-25 22:50:35.840000,bcg,3.55,3.5,10614.4693688
3039.14,2013-01-25 22:50:39.140000,bcg,3.3,3.15,8845.95546425
3042.34,2013-01-25 22:50:42.340000,bcg,3.25,3.35,11120.775171
3045.69,2013-01-25 22:50:45.690000,bcg,3.35,3.3,13144.9478373
3097.14,2013-01-25 22:51:37.140000,bcg,3.6,3.7,11985.0693107
3134.29,2013-01-25 22:52:14.290000,bcg,4.05,4.0,14278.995301
3137.89,2013-01-25 22:52:17.890000,bcg,3.7,3.7,11179.180053
3141.74,2013-01-25 22:52:21.740000,bcg,3.85,3.8,12775.4382309
3145.44,2013-01-25 22:52:25.440000,bcg,3.7,3.7,11899.6679416
3149.19,2013-01-25 22:52:29.190000,bcg,3.75,3.75,12546.8234224
3185.09,2013-01-25 22:53:05.090000,bcg,3.45,3.5,13442.2050517
3188.64,2013-01-25 22:53:08.640000,bcg,3.55,3.6,14417.5815579
3192.14,2013-01-25 22:53:12.140000,bcg,3.5,3.45,13153.4777106
3195.54,2013-01-25 22:53:15.540000,bcg,3.4,3.4,13877.3301026
3199.09,2013-01-25 22:53:19.090000,bcg,3.55,3.6,13314.3412977
3202.59,2013-01-25 22:53:22.590000,bcg,3.5,3.5,13310.6455177
3206.29,2013-01-25 22:53:26.290000,bcg,3.7,3.7,13241.1643219
3446.24,2013-01-25 22:57:26.240000,bcg,3.7,3.75,1551.56951937
3450.04,2013-01-25 22:57:30.040000,bcg,3.8,3.7,1384.03916172
3453.49,2013-01-25 22:57:33.490000,bcg,3.45,3.35,1202.024331
3456.99,2013-01-25 22:57:36.990000,bcg,3.5,3.6,1563.88350718
3460.69,2013-01-25 22:57:40.690000,bcg,3.7,3.8,1516.39160782
3464.29,2013-01-25 22:57:44.290000,bcg,3.6,3.4,1187.826364
3467.69,2013-01-25 22:57:47.690000,bcg,3.4,3.4,1401.81827612
3471.14,2013-01-25 22:57:51.140000,bcg,3.45,3.45,1418.31568068
3474.59,2013-01-25 22:57:54.590000,bcg,3.35,3.4,1722.21095456
3478.14,2013-01-25 22:57:58.140000,bcg,3.55,3.55,1860.56802093
3481.74,2013-01-25 22:58:01.740000,bcg,3.6,3.5,1436.45945433
3484.94,2013-01-25 22:58:04.940000,bcg,3.2,3.3,1702.5084409
3488.29,2013-01-25 22:58:08.290000,bcg,3.35,3.25,1464.10351699
3491.59,2013-01-25 22:58:11.590000,bcg,3.3,3.35,1471.93266765
3527.04,2013-01-25 22:58:47.040000,bcg,3.4,3.55,1517.54452315
3530.79,2013-01-25 22:58:50.790000,bcg,3.75,3.65,1462.21976004
3534.29,2013-01-25 22:58:54.290000,bcg,3.5,3.55,1630.61487245
3537.84,2013-01-25 22:58:57.840000,bcg,3.55,3.65,1818.71461364
3541.49,2013-01-25 22:59:01.490000,bcg,3.65,3.55,1651.34054442
3545.14,2013-01-25 22:59:05.140000,bcg,3.65,3.75,1734.12439294
3548.74,2013-01-25 22:59:08.740000,bcg,3.6,3.45,1694.56179639
3552.19,2013-01-25 22:59:12.190000,bcg,3.45,3.5,1638.19764184
3555.54,2013-01-25 22:59:15.540000,bcg,3.35,3.3,1479.61637647
3735.14,2013-01-25 23:02:15.140000,bcg,4.15,4.3,1977.38401356
3739.29,2013-01-25 23:02:19.290000,bcg,4.15,4.3,2197.43831666
3743.74,2013-01-25 23:02:23.740000,bcg,4.45,4.3,2172.40324406
3748.34,2013-01-25 23:02:28.340000,bcg,4.45,4.45,2045.27087899
3752.59,2013-01-25 23:02:32.590000,bcg,4.25,4.25,1951.27671818
3756.74,2013-01-25 23:02:36.740000,bcg,4.4,4.25,2284.1063115
3762.59,2013-01-25 23:02:42.590000,bcg,5.9,5.8,826.553067086
3767.44,2013-01-25 23:02:47.440000,bcg,4.85,4.3,602.63853699
3771.59,2013-01-25 23:02:51.590000,bcg,4.15,4.25,915.166690095
3775.94,2013-01-25 23:02:55.940000,bcg,4.35,4.5,1122.09737771
3780.39,2013-01-25 23:03:00.390000,bcg,4.45,4.15,638.917332901
3784.79,2013-01-25 23:03:04.790000,bcg,4.3,4.2,2986.37259949
3788.49,2013-01-25 23:03:08.490000,bcg,3.7,4.0,2473.9032063
3792.24,2013-01-25 23:03:12.240000,bcg,3.75,3.25,2670.92717722
3795.54,2013-01-25 23:03:15.540000,bcg,3.4,3.65,787.261493468
3799.24,2013-01-25 23:03:19.240000,bcg,3.7,4.1,1538.50498879
3803.64,2013-01-25 23:03:23.640000,bcg,4.4,3.85,2170.07999192
3807.09,2013-01-25 23:03:27.090000,bcg,3.45,3.35,2633.42795964
4019.09,2013-01-25 23:06:59.090000,bcg,3.3,3.3,1116.87228755
4203.29,2013-01-25 23:10:03.290000,bcg,3.8,3.75,1028.09788801
4207.24,2013-01-25 23:10:07.240000,bcg,3.95,4.45,1079.74394309
4211.44,2013-01-25 23:10:11.440000,bcg,4.2,3.9,1701.49956617
4215.49,2013-01-25 23:10:15.490000,bcg,4.05,3.9,1727.14989628
4219.29,2013-01-25 23:10:19.290000,bcg,3.8,3.65,1630.74153131
4627.74,2013-01-25 23:17:07.740000,bcg,6.4,3.6,146.178139673
4784.74,2013-01-25 23:19:44.740000,bcg,4.4,4.3,757.478160605
4784.99,2013-01-25 23:19:44.990000,bcg,7.1,7.55,165.65242642
5102.74,2013-01-25 23:25:02.740000,bcg,4.15,3.9,872.343314956
5106.49,2013-01-25 23:25:06.490000,bcg,3.75,3.6,440.564158078
5110.24,2013-01-25 23:25:10.240000,bcg,3.75,4.05,459.859053211
5114.64,2013-01-25 23:25:14.640000,bcg,4.4,4.5,496.688690084
5118.84,2013-01-25 23:25:18.840000,bcg,4.2,3.95,368.785318215
5122.74,2013-01-25 23:25:22.740000,bcg,3.9,4.05,281.672707126
5156.84,2013-01-25 23:25:56.840000,bcg,4.85,4.7,367.300421982
5161.24,2013-01-25 23:26:01.240000,bcg,4.4,4.2,344.23108176
5166.39,2013-01-25 23:26:06.390000,bcg,5.15,5.05,522.933946735
5170.74,2013-01-25 23:26:10.740000,bcg,4.35,4.6,521.695826783
5212.74,2013-01-25 23:26:52.740000,bcg,4.55,4.3,186.30172183
5336.39,2013-01-25 23:28:56.390000,bcg,3.85,3.95,663.642963423
5340.14,2013-01-25 23:29:00.140000,bcg,3.75,3.55,596.350091248
5393.09,2013-01-25 23:29:53.090000,bcg,6.5,4.55,457.911025906
5397.79,2013-01-25 23:29:57.790000,bcg,4.7,4.75,650.17464732
5440.44,2013-01-25 23:30:40.440000,bcg,3.15,3.9,403.631877702
5444.54,2013-01-25 23:30:44.540000,bcg,4.1,3.8,387.436147807
5511.14,2013-01-25 23:31:51.140000,bcg,4.2,4.55,1990.57662861
5515.54,2013-01-25 23:31:55.540000,bcg,4.4,4.15,1767.96914558
5519.44,2013-01-25 23:31:59.440000,bcg,3.9,3.65,1421.70835143
5522.99,2013-01-25 23:32:02.990000,bcg,3.55,3.65,1593.35016804
5526.69,2013-01-25 23:32:06.690000,bcg,3.8,3.6,1867.21963309
5530.09,2013-01-25 23:32:10.090000,bcg,3.4,3.45,1698.45952731
5533.59,2013-01-25 23:32:13.590000,bcg,3.5,3.95,1541.56633133
5537.49,2013-01-25 23:32:17.490000,bcg,3.9,3.45,1399.67960451
5540.94,2013-01-25 23:32:20.940000,bcg,3.45,3.85,1227.51437894
5544.84,2013-01-25 23:32:24.840000,bcg,3.9,3.55,1439.22262562
5548.34,2013-01-25 23:32:28.340000,bcg,3.5,4.25,1382.49220625
5552.64,2013-01-25 23:32:32.640000,bcg,4.3,3.55,1393.34209312
5556.39,2013-01-25 23:32:36.390000,bcg,3.65,3.65,1270.01928108
5559.89,2013-01-25 23:32:39.890000,bcg,3.5,3.4,1300.75078571
5563.39,2013-01-25 23:32:43.390000,bcg,3.5,3.55,1368.41525372
5566.84,2013-01-25 23:32:46.840000,bcg,3.45,3.55,1535.28220588
5570.49,2013-01-25 23:32:50.490000,bcg,3.7,3.45,1315.88049355
5573.74,2013-01-25 23:32:53.740000,bcg,3.25,3.55,1819.17884154
5577.39,2013-01-25 23:32:57.390000,bcg,3.65,3.75,1616.97082954
5581.14,2013-01-25 23:33:01.140000,bcg,3.75,3.2,1467.54099402
5584.34,2013-01-25 23:33:04.340000,bcg,3.2,3.9,1461.93417513
5588.24,2013-01-25 23:33:08.240000,bcg,3.9,3.65,1522.5073764
5591.89,2013-01-25 23:33:11.890000,bcg,3.65,3.65,1342.08967607
5595.59,2013-01-25 23:33:15.590000,bcg,3.7,3.65,1456.68635217
5699.49,2013-01-25 23:34:59.490000,bcg,3.85,3.95,877.812209802
5703.44,2013-01-25 23:35:03.440000,bcg,3.95,3.85,978.011060575
5707.29,2013-01-25 23:35:07.290000,bcg,3.85,3.95,901.024846338
5711.24,2013-01-25 23:35:11.240000,bcg,3.95,4.3,884.329159244
5715.99,2013-01-25 23:35:15.990000,bcg,4.4,4.4,687.173593579
5720.39,2013-01-25 23:35:20.390000,bcg,4.4,4.3,808.54075322
5724.64,2013-01-25 23:35:24.640000,bcg,4.25,4.25,892.768104641
5728.79,2013-01-25 23:35:28.790000,bcg,4.15,3.9,842.205045229
5732.54,2013-01-25 23:35:32.540000,bcg,3.75,3.7,671.37230928
5736.39,2013-01-25 23:35:36.390000,bcg,3.85,4.0,621.816231295
5740.44,2013-01-25 23:35:40.440000,bcg,4.05,4.2,814.069402908
5772.14,2013-01-25 23:36:12.140000,bcg,5.9,4.85,752.893174321
5862.29,2013-01-25 23:37:42.290000,bcg,4.35,4.2,629.225123376
5866.54,2013-01-25 23:37:46.540000,bcg,4.25,4.5,552.761919193
5931.94,2013-01-25 23:38:51.940000,bcg,4.15,3.95,218.472050144
5936.19,2013-01-25 23:38:56.190000,bcg,4.05,4.15,1008.39549233
5940.39,2013-01-25 23:39:00.390000,bcg,4.2,4.9,787.714817459
5945.49,2013-01-25 23:39:05.490000,bcg,5.1,4.7,839.962390795
5950.04,2013-01-25 23:39:10.040000,bcg,4.55,4.8,931.601480017
5954.89,2013-01-25 23:39:14.890000,bcg,4.85,4.95,838.923265541
5959.74,2013-01-25 23:39:19.740000,bcg,4.65,4.5,401.68531023
5964.14,2013-01-25 23:39:24.140000,bcg,4.4,5.25,919.778937721
5969.39,2013-01-25 23:39:29.390000,bcg,5.25,4.9,913.273689138
5974.29,2013-01-25 23:39:34.290000,bcg,4.9,5.2,790.552228893
5979.39,2013-01-25 23:39:39.390000,bcg,5.1,5.45,734.159654896
5984.94,2013-01-25 23:39:44.940000,bcg,5.55,4.85,840.544431987
5989.59,2013-01-25 23:39:49.590000,bcg,4.65,3.9,1128.88950994
6047.89,2013-01-25 23:40:47.890000,bcg,4.5,4.25,1074.34973301
6052.19,2013-01-25 23:40:52.190000,bcg,4.3,4.85,965.275678788
6057.14,2013-01-25 23:40:57.140000,bcg,4.95,5.0,733.292630709
6062.04,2013-01-25 23:41:02.040000,bcg,4.9,4.25,541.697631775
6062.44,2013-01-25 23:41:02.440000,bcg,5.0,7.3,375.382805396
6069.49,2013-01-25 23:41:09.490000,bcg,7.05,4.55,288.889606985
6073.89,2013-01-25 23:41:13.890000,bcg,4.4,4.4,305.132656639
6077.94,2013-01-25 23:41:17.940000,bcg,4.05,4.2,416.549552661
6082.59,2013-01-25 23:41:22.590000,bcg,4.65,4.65,483.375472587
6123.74,2013-01-25 23:42:03.740000,bcg,5.1,5.25,716.727018877
6128.94,2013-01-25 23:42:08.940000,bcg,5.2,5.15,673.466772972
6134.14,2013-01-25 23:42:14.140000,bcg,4.95,4.8,447.122982931
6138.89,2013-01-25 23:42:18.890000,bcg,4.75,4.7,482.949231545
6143.64,2013-01-25 23:42:23.640000,bcg,4.75,4.9,569.488442995
6148.34,2013-01-25 23:42:28.340000,bcg,4.95,4.05,788.422180598
6189.59,2013-01-25 23:43:09.590000,bcg,5.65,4.5,669.394209247
6194.14,2013-01-25 23:43:14.140000,bcg,4.55,4.95,880.048789101
6199.14,2013-01-25 23:43:19.140000,bcg,5.0,4.9,603.64872
6203.84,2013-01-25 23:43:23.840000,bcg,4.75,4.8,1158.20359459
6208.59,2013-01-25 23:43:28.590000,bcg,4.75,4.35,1254.83578332
6212.89,2013-01-25 23:43:32.890000,bcg,4.3,4.25,1041.44507332
6217.14,2013-01-25 23:43:37.140000,bcg,4.25,4.4,889.687446261
6221.69,2013-01-25 23:43:41.690000,bcg,4.55,5.0,969.607072495
6226.74,2013-01-25 23:43:46.740000,bcg,5.05,4.8,975.858893108
6230.94,2013-01-25 23:43:50.940000,bcg,4.75,4.75,1228.10495695
6236.14,2013-01-25 23:43:56.140000,bcg,4.7,5.15,830.177473507
6241.29,2013-01-25 23:44:01.290000,bcg,5.15,5.45,930.409335233
6246.84,2013-01-25 23:44:06.840000,bcg,5.55,5.0,1054.4037257
6292.59,2013-01-25 23:44:52.590000,bcg,4.35,4.7,1002.4023317
6296.99,2013-01-25 23:44:56.990000,bcg,4.4,4.05,875.895110906
6301.14,2013-01-25 23:45:01.140000,bcg,4.15,5.25,755.376764133
6306.49,2013-01-25 23:45:06.490000,bcg,5.35,4.7,859.64184483
6311.19,2013-01-25 23:45:11.190000,bcg,4.7,4.75,801.06986138
6315.89,2013-01-25 23:45:15.890000,bcg,4.7,4.4,892.839128074
6319.84,2013-01-25 23:45:19.840000,bcg,4.45,5.1,1224.12017636
6324.94,2013-01-25 23:45:24.940000,bcg,5.1,4.8,1167.27050992
6329.74,2013-01-25 23:45:29.740000,bcg,4.8,4.85,1090.93542382
6334.64,2013-01-25 23:45:34.640000,bcg,4.9,4.4,1020.74377379
6339.34,2013-01-25 23:45:39.340000,bcg,4.25,3.95,1048.67799397
6343.34,2013-01-25 23:45:43.340000,bcg,4.0,4.15,1090.20995593
6347.54,2013-01-25 23:45:47.540000,bcg,4.2,4.2,948.392712021
6351.84,2013-01-25 23:45:51.840000,bcg,4.3,4.6,907.295032999
6356.44,2013-01-25 23:45:56.440000,bcg,4.6,4.7,898.384518277
6361.19,2013-01-25 23:46:01.190000,bcg,4.75,4.95,858.948299447
6365.99,2013-01-25 23:46:05.990000,bcg,4.8,4.2,1222.07364987
6370.24,2013-01-25 23:46:10.240000,bcg,4.25,4.45,1291.96600844
6374.69,2013-01-25 23:46:14.690000,bcg,4.45,4.4,954.708054847
6378.99,2013-01-25 23:46:18.990000,bcg,4.3,4.05,801.52139492
6416.54,2013-01-25 23:46:56.540000,bcg,4.55,4.4,723.076177165
6420.79,2013-01-25 23:47:00.790000,bcg,4.25,4.25,827.789266458
6425.04,2013-01-25 23:47:05.040000,bcg,4.25,5.25,790.449224074
6430.34,2013-01-25 23:47:10.340000,bcg,5.3,4.45,874.775508363
6434.84,2013-01-25 23:47:14.840000,bcg,4.5,4.65,852.620444404
6439.49,2013-01-25 23:47:19.490000,bcg,4.65,4.6,872.207779534
6444.09,2013-01-25 23:47:24.090000,bcg,4.6,4.65,870.61267252
6448.69,2013-01-25 23:47:28.690000,bcg,4.6,4.25,967.193705565
6452.39,2013-01-25 23:47:32.390000,bcg,4.15,4.15,1155.5780042
6457.04,2013-01-25 23:47:37.040000,bcg,4.25,4.65,1047.30079553
6461.79,2013-01-25 23:47:41.790000,bcg,4.75,4.85,1076.32265748
6466.44,2013-01-25 23:47:46.440000,bcg,4.65,4.1,1048.94395524
6470.09,2013-01-25 23:47:50.090000,bcg,4.05,4.3,1013.1666731
6474.39,2013-01-25 23:47:54.390000,bcg,4.3,4.65,933.697067836
6479.04,2013-01-25 23:47:59.040000,bcg,4.65,4.05,960.894188692
6483.09,2013-01-25 23:48:03.090000,bcg,4.05,4.0,879.930907613
6487.54,2013-01-25 23:48:07.540000,bcg,4.1,4.5,743.174832254
6492.09,2013-01-25 23:48:12.090000,bcg,4.55,5.35,768.923813833
6497.19,2013-01-25 23:48:17.190000,bcg,5.1,3.8,1028.72622114
6501.04,2013-01-25 23:48:21.040000,bcg,3.85,3.9,1044.68212921
6505.04,2013-01-25 23:48:25.040000,bcg,4.0,4.25,930.339360417
6509.29,2013-01-25 23:48:29.290000,bcg,4.25,4.1,935.848963363
6513.49,2013-01-25 23:48:33.490000,bcg,4.2,4.45,1064.66604182
6517.89,2013-01-25 23:48:37.890000,bcg,4.4,4.25,778.537336943
6522.09,2013-01-25 23:48:42.090000,bcg,4.2,4.15,622.02731105
6526.14,2013-01-25 23:48:46.140000,bcg,4.05,3.8,744.480976795
6560.99,2013-01-25 23:49:20.990000,bcg,4.45,4.5,803.523196431
6565.39,2013-01-25 23:49:25.390000,bcg,4.4,4.25,798.715304783
6569.14,2013-01-25 23:49:29.140000,bcg,4.2,4.15,970.447140147
6573.89,2013-01-25 23:49:33.890000,bcg,4.3,4.95,972.735076206
6578.74,2013-01-25 23:49:38.740000,bcg,4.85,4.15,1069.46068348
6582.94,2013-01-25 23:49:42.940000,bcg,4.2,4.7,1028.18757759
6587.64,2013-01-25 23:49:47.640000,bcg,4.7,4.4,976.607701073
6592.09,2013-01-25 23:49:52.090000,bcg,4.45,4.75,936.074687377
